category,latitude,longitude,name,rating,review_count
newamerican,34.00668148,-118.491776,Belcampo - Santa Monica,3.5,292
tradamerican,34.02389503,-118.4919272,The Cutting Board,4,484
breakfast_brunch,34.02016449,-118.4501343,Belle Vie Food & Wine,4.5,59
wine_bars,34.04601669,-118.4645996,800 Degrees Woodfired Kitchen,4.5,205
pizza,34.01731605,-118.5002366,Pacific Dining Car,3.5,851
tradamerican,34.036739,-118.4763075,Hinoki & The Bird,3,496
newamerican,34.05651451,-118.415215,Mariscos Guillen La Playita,3.5,1365
mexican,34.002558,-118.4704,Citizen Sprout,4,453
food,34.02478,-118.49072,SALT Restaurant and Bar,4.5,11
newamerican,33.98011045,-118.4459561,A Votre Sante,4,1061
newamerican,34.048248,-118.4903434,Baby Blues BBQ,4,395
bbq,34.0002887,-118.4653443,Thyme Cafe and Market,4,2387
cafes,34.01172,-118.46749,Fogo de Chão Brazilian Steakhouse,3.5,543
steak,34.06855,-118.37667,Thai Vegan,4,3853
thai,34.003927,-118.485703,Tallula's,4,772
mexican,34.02795,-118.51814,Pomodoro Trattoria,3.5,391
italian,34.0554157,-118.4420081,Burger Lounge,4.5,902
burgers,34.01661627,-118.4983105,Pacifico Charbroiled Fish,4,606
foodtrucks,34.01158,-118.49227,Holy Cow BBQ,4.5,10
bbq,34.0468723,-118.4904054,Wexler's Deli,3.5,373
delis,34.0183021,-118.4926533,The Stinking Rose,3.5,279
italian,34.06642,-118.37659,BIBIBOP Asian Grill,4,4239
korean,34.015691,-118.495861,Teddy's Cafe,4,152
diners,34.02974701,-118.4501495,Tatsu Ramen,4,310
ramen,34.03892761,-118.4423404,Manpuku Tokyo BBQ,4,3114
japanese,34.03876,-118.44218,Yardbird Southern Table & Bar,4,602
southern,34.07364241,-118.3767745,Michael's,4.5,939
newamerican,34.019,-118.49949,Opaque - Dining in the Dark,3.5,457
newamerican,34.03155,-118.4821,Yamakase,3.5,325
japanese,34.04206,-118.46077,Cafe Lucy,4.5,241
coffee,34.021631,-118.493519,Gracias Madre,5,45
mexican,34.08079511,-118.386972,CinqueTerre WEST Osteria,4,3986
italian,34.0465,-118.52376,The Carbon Grill,4.5,41
mexican,34.00145,-118.48327,The Rooftop by JG,4.5,11
latin,34.0669351,-118.41058,India's Tandoori,4,293
indpak,34.0481,-118.46312,Craft,4.5,1054
newamerican,34.0596002,-118.4143396,Chubby Pie,4,1666
pizza,33.9885,-118.47475,Coast Beach Cafe & Bar,5,1
bars,34.00673484,-118.4918833,The Mar Vista,3.5,355
newamerican,34.00464161,-118.4322623,Oasis Mediterranean Cuisine,4,413
mediterranean,34.0473515,-118.3762949,Daikokuya Sawtelle,4.5,258
ramen,34.0379018,-118.4408416,Fig & Olive - Melrose Place,4,1454
sandwiches,33.9792276,-118.4394997,Zabies,4.5,1877
mediterranean,34.0834751,-118.3761741,Great White,4,2430
tradamerican,34.0201539,-118.4539539,Bazille - Nordstrom,4,254
cafes,33.9876717,-118.4720547,Pikoh,4,423
newamerican,34.0135999,-118.49479,The Veranda,4.5,25
breakfast_brunch,34.029634,-118.4491843,Wahoo's Fish Tacos,4,154
breakfast_brunch,34.01386,-118.49717,Sage Plant Based Bistro,3.5,83
mexican,34.01942768,-118.497684,Pho Fever Bistro,4,333
vegan,34.006538,-118.41216,Amelia's Espresso & Panini,4,2133
vietnamese,34.0314576,-118.4453996,Mason,4,206
coffee,34.0015995,-118.4829891,Sonoritas Prime Tacos,4.5,477
supperclubs,34.0283764,-118.5189576,Pasta Sisters - Culver City,5,3
mexican,34.04093,-118.44328,High Rooftop Lounge,4,725
italian,34.030029,-118.383983,Gladstones,4,921
lounges,33.986956,-118.47245,Makani,3.5,657
seafood,34.038396,-118.556776,Dhaba Cuisine of India,3,1949
newamerican,33.997981,-118.47331,Clutch,4,174
indpak,34.006151,-118.488148,Rasselbock L.A. Kitchen & Beer Garden,4,258
mexican,34.00014945,-118.4658956,Fellow,4,436
german,34.00413,-118.43102,A Food Affair,4,106
catering,34.06116,-118.44464,Shake Ramen,4.5,154
french,34.051909,-118.3843212,Donut Princess LA,4.5,1243
foodtrucks,34.00535,-118.47979,Lemonade,4,136
donuts,34.0258322,-118.4833159,Catch,4.5,104
poke,34.01733,-118.49753,Plan Check Kitchen + Bar - Sawtelle,3.5,249
seafood,34.006833,-118.491222,Pizzana,3.5,244
gastropubs,34.04382,-118.44589,SaMo Pizza,4,2582
pizza,34.053392,-118.466013,Mrs. Winston's - L.A.'s Best Salad Bar,4,605
pizza,34.0180181,-118.4725008,The Penthouse at Mastro's,4,70
healthmarkets,34.02041,-118.45251,Sushi Sasabune,4.5,279
steak,34.068843,-118.398751,GuYi Restaurant,4,4630
sushi,34.04683,-118.46468,The Speak Easy,4.5,1004
szechuan,34.054188,-118.4651363,SuperFood Cafe,4,180
divebars,34.015474,-118.476708,Zinqué,4,117
gluten_free,34.02038398,-118.4964461,Ma'Kai,4,417
breakfast_brunch,33.9889793,-118.4619598,Asian Box,3.5,539
lounges,34.012972,-118.496462,Snug Harbor,3.5,191
asianfusion,34.02183263,-118.4656612,Prospect Gourmand,4,247
breakfast_brunch,34.0341,-118.4803,Rosti Tuscan Kitchen,3.5,321
breakfast_brunch,34.0633975,-118.3759994,Tacos Tuzo,4.5,727
italian,34.02915272,-118.499226,The Win-Dow at American Beauty,3.5,523
foodtrucks,34.01758,-118.49414,Hatchet Hall,4.5,22
burgers,33.99808,-118.47445,Tocaya - Venice,4.5,142
cocktailbars,33.99696036,-118.4315601,Ocean and Vine,4,634
mexican,33.986639,-118.471641,Locanda Portofino,4.5,801
newamerican,34.0090615,-118.4932408,Terzo°MDR,3.5,147
italian,34.029955,-118.497519,Daily Grill,3.5,270
italian,33.986742,-118.441667,Empanada's Place,4,19
tradamerican,34.030017,-118.472355,Kitchen Story,3.5,284
argentine,34.0110704,-118.4196397,Dagwoods,4.5,732
korean,34.0388357,-118.4419926,Pure Food Organic Kitchen,4,429
pizza,34.022433,-118.493736,Mon Petit Poulet,4,444
falafel,34.007889,-118.4832072,GRANVILLE,5,80
french,33.9995394,-118.4644203,Cafe Bolivar,4.5,230
newamerican,34.0771299,-118.38068,Joe's Pizza,4.5,1165
coffee,34.01307259,-118.4658685,Ocean Park Ramen,4,368
pizza,34.0132137,-118.4962533,Cholada Thai Beach Cuisine,3.5,1082
ramen,34.019998,-118.45437,The Wee Chippy,4.5,132
thai,34.0390802,-118.5838245,The Galley,4,704
fishnchips,33.988507,-118.474756,RIZE Thai Sushi,4.5,212
seafood,34.00333598,-118.4850262,Rock'n Pies,3.5,431
sushi,34.00452099,-118.4731446,The Counter Santa Monica,4,325
pizza,34.02473175,-118.4911651,Maple Block Meat Co,4,122
burgers,34.01962297,-118.4549233,Simmzy's,4,1550
bbq,34.00922,-118.41467,Veggie Grill,4,1196
burgers,33.97975064,-118.4659622,Shojin Culver City,4.5,404
vegetarian,34.0321,-118.48287,The Carving Board,4,950
japanese,33.99667358,-118.4286804,Uplifters Kitchen,4.5,415
sandwiches,34.028883,-118.44268,O'Briens Irish Pub,4.5,344
coffee,34.019261,-118.4554674,Casablanca Restaurant,4.5,201
pubs,34.0331641,-118.4806434,Maria’s Italian Kitchen,4,332
mexican,34.00162506,-118.4678574,Tangaroa Fish Market & Raw Bar,4,870
italian,34.029224,-118.498617,Sushi Hanashi,4,10
seafoodmarkets,33.996604,-118.432363,The sunrise brew,4,530
sushi,34.0115785,-118.4824461,Millet Crepe,4,335
coffee,34.029352,-118.517896,CoCo King,4,13
creperies,34.04056294,-118.4433091,Lo/Cal Coffee and Market,4,453
chinese,34.0316,-118.44503,Baltaire,4,10
coffee,34.0206223,-118.4670029,Belcampo Butcher Shop,4.5,231
steak,34.0541093,-118.4638472,Spago,4,711
butcher,34.0240954,-118.4919357,Killer Noodle Tsujita,4,50
newamerican,34.0676057,-118.3976687,Sushi Roku,4,1904
ramen,34.04029,-118.44265,WhatSUB,4,677
sushi,34.01411,-118.49746,The Crack Shack,3.5,926
sandwiches,34.0267181,-118.474721,The Nickel Mine,4,48
chickenshop,34.0599599,-118.41982,Bangkok West Thai Cuisine,4,346
gastropubs,34.0460437,-118.4504593,Seaside on the Pier & Sandwich Co,4,574
thai,34.0180193,-118.4928985,The Gallery Food Hall,3.5,450
newamerican,34.009904,-118.4965051,Pizzicotto,3.5,215
food_court,34.01679,-118.49689,India's Oven,4,13
italian,34.0530451,-118.46741,COD Restaurant,4,549
indpak,34.05029,-118.46053,Horchata Mexican Food & Bakery,4.5,1136
seafood,34.0728,-118.37363,El Cholo,4.5,665
mexican,34.0276451,-118.5005798,La Esquina,3.5,61
mexican,34.02450562,-118.4922409,Casa De Campo,3.5,1085
mexican,34.02922204,-118.3891597,Hamasaku,4.5,174
mexican,34.06426631,-118.4690556,Pann's Restaurant,4.5,99
japanese,34.048303,-118.443351,Blackship,4,510
diners,33.97795,-118.37064,Taste of Tehran,4,1172
newamerican,34.0888,-118.3769,Casa Sanchez,4,163
persian,34.04764,-118.43542,Bento Moderno,4.5,858
mexican,33.9927987,-118.4227098,YAZAWA,4,1208
asianfusion,34.0209,-118.45284,Tandoor India,4,68
japanese,34.06911296,-118.4068078,Basement Tavern,4.5,238
indpak,34.0233439,-118.4618731,Plant Food + Wine,4,666
bars,34.00145,-118.48327,George's Burgers,3.5,473
salad,34.03338229,-118.4939798,Amandine Patisserie Cafe - Brentwood,3,37
vegan,33.99244,-118.47237,TRiP,4,530
burgers,34.0031899,-118.47077,Groundwork Coffee Co.,3.5,341
salad,33.9893797,-118.4627198,Casa Nostra Ristorante,4,1507
bakeries,34.04312478,-118.4688408,Flowerboy Project,4,1414
musicvenues,34.0108936,-118.480957,Chick-fil-A,3.5,183
coffee,34.0003699,-118.47027,Tokyo Kalbi,4,453
italian,34.076201,-118.565252,Marsa Mediterranean Cuisine,4.5,239
cafes,33.99922,-118.46291,dipnmix,4,90
hotdogs,34.0102209,-118.4800792,Bacari PDR,2.5,77
japanese,34.02899947,-118.4428418,Ninjin,4,135
mediterranean,34.04619,-118.46434,Farsi Cafe,4.5,280
waffles,34.06271433,-118.4482287,Taste at the Palisades,4.5,29
newamerican,33.95868422,-118.4483524,PokeCeviche,4.5,786
japanese,34.0155487,-118.4901535,Palisades Garden Cafe,4,497
persian,34.0479364,-118.4352082,Tavern,4,464
newamerican,34.045368,-118.5517818,Charcoal Venice,4,353
poke,34.00075167,-118.4821557,Maradentro Brentwood,4.5,28
bakeries,34.0457746,-118.5251269,Bread & Porridge,4,206
newamerican,34.05351,-118.46334,The Talpa Restaurant,3.5,1161
newamerican,33.98171,-118.46299,New Bootleg Taco Stand on Venice,4,478
