category,is_closed,latitude,longitude,name,rating,review_count
pizza,,34.07727,-118.26389,HomeState,4,280
chinese,,34.0761949,-118.3751356,Krab Queenz,4,289
burgers,,34.099915,-118.2589283,El Chato Taco Truck,4,297
indpak,,34.0256549,-118.294352,Pizzeria Mozza,4,297
breweries,,34.06469,-118.34368,ACA Grill,4,298
burgers,,34.099915,-118.2589283,El Cochinito Restaurant,4,298
indpak,,34.0256549,-118.294352,Plan Check Kitchen & Bar,4,298
seafood,,34.12591,-118.26336,Purgatory Pizza,4,298
breweries,,34.06469,-118.34368,Ackee Bamboo Jamaican Cuisine,4,299
sushi,,34.0491747,-118.2394231,Shojin Culver City,4,305
mediterranean,,34.0399268,-118.4233433,Berlins,4,306
mediterranean,,34.0399268,-118.4233433,Best Fish Taco In Ensenada,4,306
mediterranean,,34.0399268,-118.4233433,Bestia,4,307
cocktailbars,,34.040358,-118.2634197,Buil Samgye Tang,4,312
cocktailbars,,34.040358,-118.2634197,Bulgogi Hut,4,312
soulfood,,33.99309755,-118.2563043,Monty's Good Burger,4,314
chicken_wings,,34.0624241,-118.2810091,Pollen,4,319
newamerican,,34.0976461,-118.3529173,Lao Tao,4,323
korean,,34.04909474,-118.240458,The Counter Downtown LA,4,323
cafes,,34.0838349,-118.3692845,Forage,4,324
cafes,,34.0838349,-118.3692845,Fortune House Chinese Cuisine,4,324
chinese,,34.06616,-118.23586,Guisados,4,324
chinese,,34.06616,-118.23586,Guisados DTLA,4,324
cafes,,34.0838349,-118.3692845,Founders Ale House,4,325
cafes,,34.0838349,-118.3692845,Frankie's,4,325
ramen,,34.04867,-118.25753,Speranza,4,325
ramen,,34.04867,-118.25753,Spitz - Eagle Rock,4,326
burgers,,34.075395,-118.323818,ediBOL,4,333
burgers,,34.075395,-118.323818,Egg Tuck,4,333
burgers,,34.075395,-118.323818,Eggslut,4,334
burgers,,34.075395,-118.323818,Eight Korean BBQ,4,334
ramen,,34.0837585,-118.352546,KazuNori: The Original Hand Roll Bar,4,336
ramen,,34.0837585,-118.352546,Kettle Black,4,338
ramen,,34.0837585,-118.352546,Kiku Sushi,4,338
caribbean,,34.00574,-118.33183,AL Basch Chicken,4,343
caribbean,,34.00574,-118.33183,Al Wazir Chicken,4,343
korean,,34.05244,-118.29234,SOL Mexican Cocina,4,356
mexican,,34.0470681,-118.2843635,Paros Chicken,4,365
chicken_wings,,34.0833,-118.34999,Yuk Dae Jang,4,371
chicken_wings,,34.0833,-118.34999,Yuko Kitchen,4,371
pizza,,34.06188,-118.34278,Beetle House LA,4,389
pizza,,34.06188,-118.34278,Beignet Box,4,390
sushi,,34.07531437,-118.3235785,Tere's Mexican Grill,4,396
salvadoran,,34.0763908,-118.3068031,Smorgasburg,4,399
korean,,34.0527649,-118.30033,Melody,4,402
taiwanese,,34.0614,-118.23951,Tokyo Hamburg,4,404
taiwanese,,34.0614,-118.23951,Tom's Urban - LA Live,4,405
taiwanese,,34.0614,-118.23951,Tommy's Original World Famous Hamburgers,4,405
ramen,,34.05908,-118.34485,The Kimbap,4,408
cocktailbars,,34.044804,-118.25665,Dollar Hits,4,409
taiwanese,,34.0614,-118.23951,Torigoya,4,409
taiwanese,,34.0614,-118.23951,Totoyama Sushi & Ramen,4,409
cocktailbars,,34.044804,-118.25665,Dōnatsu,4,410
cocktailbars,,34.044804,-118.25665,Dong II Jang Restaurant,4,411
italian,,34.08323,-118.34724,Mariscos Jalisco,4,412
italian,,34.08323,-118.34724,Mariscos La Corita,4,412
colombian,,34.083723,-118.311995,The Parker Room,4,412
newamerican,,34.06060001,-118.3445095,Himalayan House,4,415
latin,,34.0359554,-118.2920263,Go Pocha,4,424
mediterranean,,34.1002441,-118.2906102,Thank You For Coming,4,429
mediterranean,,34.1002441,-118.2906102,The 8th Notch,4,429
filipino,,34.06149597,-118.2395685,Tripp Burgers,4,435
filipino,,34.06149597,-118.2395685,Trois Mec,4,436
ramen,,34.045277,-118.238494,Pao Jao Dumpling House,4,442
ramen,,34.045277,-118.238494,Papa Cristo's,4,442
korean,,34.06662622,-118.3089679,Lowell Farms: A Cannabis Cafe,4,445
desserts,,34.10145873,-118.3271163,The Silver Lake House,4,449
japanese,,34.06332,-118.30197,Crustees Eatery,4,458
cocktailbars,,34.0637,-118.30822,Pho Hoa Vietnamese Restaurant,4,460
cocktailbars,,34.0637,-118.30822,Pho Legend,4,461
cocktailbars,,34.0637,-118.30822,Pho Saigon Pearl,4,461
newamerican,,34.0735193,-118.3767501,Lobster & Beer,4,463
newamerican,,34.0735193,-118.3767501,Local,4,464
salvadoran,,34.07655,-118.294522,Beut,4,466
korean,,34.06315734,-118.302619,DRAGO Centro,4,467
bbq,,34.10183154,-118.3184482,Biriyani Kabob House,4,468
newamerican,,34.1014294,-118.3263326,Los Balcones - Studio City,4,472
newamerican,,34.1014294,-118.3263326,Lou’s Hot Chicken,4,472
mexican,,34.06175,-118.21331,The Park,4,472
japanese,,34.0493955,-118.2397527,Guelaguetza Restaurante,4,477
japanese,,34.0493955,-118.2397527,Guerrilla Tacos,4,478
mexican,,34.06251215,-118.3488146,La Esquina,4,482
mexican,,34.0466,-118.21837,Franklin & Company Tavern,4,492
cocktailbars,,34.04799129,-118.2584669,Jitlada,4,492
mexican,,34.0466,-118.21837,Fratelli Cafe,4,493
cocktailbars,,34.04799129,-118.2584669,JJUKKU JJUKKU BBQ,4,493
italian,,34.10851,-118.26806,Colori Kitchen,4,498
chicken_wings,,34.06012,-118.29128,The Den on Sunset,4,498
ramen,,34.10183737,-118.3007547,Mee and Greet,4,514
ramen,,34.0480267,-118.2400318,Osteria Mozza,4,514
