,category,is_closed,latitude,longitude,name,rating,review_count
938,breakfast_brunch,False,34.08222,-118.30948,LA Breakfast Club,5.0,1
939,coffee,False,34.045188,-118.249536,Wake and Late,4.5,403
940,italian,False,34.08233,-118.27219,La Pergoletta on Sunset,4.5,79
941,mideastern,False,34.14659,-118.25335,Raffi's Place,4.5,4280
942,asianfusion,False,34.086859999999994,-118.29152,Hana Kitchen,4.5,52
943,japanese,False,34.0311016,-118.400832,Sushi Zo,4.0,734
944,sandwiches,False,34.0401309895633,-118.34078472107599,Simply D'Licious,3.5,258
945,gluten_free,False,34.0529343180276,-118.257182712459,Asian Box,4.0,162
946,filipino,False,34.0853518,-118.2745658,Spoon & Pork,4.5,117
947,bars,False,34.044846,-118.249564,Cole's French Dip,3.5,2184
948,korean,False,34.0560571,-118.2897392,Corner Place,4.0,909
949,sandwiches,False,34.07245,-118.3705,Simple Things 3rd Street,4.0,822
950,italian,False,34.0351,-118.25332,Rossoblu,4.0,479
951,italian,False,34.104808807373,-118.291404724121,Palermo Italian Restaurant,4.0,1474
952,newamerican,False,34.08847,-118.26875,Botanica Restaurant & Market,4.0,245
953,mexican,False,34.0758743286133,-118.349220275879,El Coyote Mexican Cafe,3.5,1665
954,pubs,False,34.09918,-118.25887,Red Lion Tavern,4.0,1595
955,mediterranean,False,34.0834751,-118.3761741,Fig & Olive - Melrose Place,4.0,2427
956,mediterranean,False,34.09846,-118.30019,Zankou Chicken - Hollywood,3.5,1011
957,korean,False,34.052836842,-118.29622709799999,SongDo Seafood,5.0,5
958,coffee,False,34.1053749,-118.3188399,Bourgeois Pig,3.5,853
959,tradamerican,False,34.0906258311211,-118.345578953138,Good Burger,3.0,61
960,seafood,False,34.009225119436806,-118.338700226171,The Kickin' Crab - Los Angeles,3.0,249
961,seafood,False,34.06107,-118.29325,Baja's Grill,4.0,27
962,mexican,False,34.0758865,-118.350284,Petty Cash Taqueria & Bar,3.5,861
963,breakfast_brunch,False,33.978852,-118.40565,Hash,4.0,622
964,bbq,False,34.1018315370452,-118.31844822870701,Ay-Do-No Korean BBQ,4.0,468
965,sushi,False,34.0637422,-118.3671403,Coral Fish Poke Shop,4.5,185
966,cocktailbars,False,34.040358000000005,-118.2634197,barcito,4.0,312
967,izakaya,False,34.0453967234337,-118.238328695297,Honda Ya Izakaya,3.5,1410
968,korean,False,34.052144,-118.310428,Chosun Galbee,4.0,1613
969,halal,False,34.04654,-118.25596000000002,The Halal Guys,4.0,561
970,korean,False,34.066959999999995,-118.29206,Go Pocha,4.0,262
971,mexican,False,34.0720873,-118.367282,El Carmen,4.0,948
972,mediterranean,False,34.072591,-118.370769,Hummus Republic,4.5,160
973,mexican,False,34.095764200000005,-118.2284241,Restaurante Tierra Caliente,4.5,257
974,mediterranean,False,34.02948,-118.38901,Almaza,4.0,537
975,steak,False,34.101802,-118.335394,Musso & Frank Grill,4.0,1540
976,newamerican,False,34.1452614254147,-118.33853200078,Santuari Restaurant,4.5,125
977,italian,False,34.108509999999995,-118.26806,Blair's Restaurant,4.0,498
978,ramen,False,34.058440000000004,-118.3087,Iki Ramen,4.5,202
979,ramen,False,34.0498759087342,-118.242309727081,Orochon Ramen,3.5,3010
980,wine_bars,False,34.082353999999995,-118.27228,Same Same,4.0,223
981,ramen,False,34.04098,-118.25696,DTLA RAMEN,4.0,535
982,bars,False,33.97607616706,-118.41696158919399,SOL Mexican Cocina,4.0,1144
983,steak,False,34.0553,-118.26596,Pacific Dining Car,3.5,1243
984,newamerican,False,34.0861279836519,-118.36172705072599,Fat Dog,4.0,562
985,foodstands,False,34.0458781631081,-118.344727903604,Churros La Paloma,5.0,31
986,mideastern,False,34.10203,-118.32191,Al Wazir Chicken,4.0,550
987,chickenshop,False,33.95967,-118.30991000000002,Charlie's Famous Fried Chicken,4.5,51
988,foodtrucks,False,34.0340039972124,-118.249286006082,Mariscos Jalisco,4.5,113
